Country,"Country Code",year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,change_across_the_two_decades
Aruba,ABW,92,100,100,100,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,8
Afghanistan,AFG,4,9,14,19,24,29,34,38,42,48,43,43,69,68,90,72,98,98,93,98,98,94
Angola,AGO,24,20,26,27,28,29,31,38,38,34,35,35,37,38,32,42,42,43,45,46,47,23
Albania,ALB,99,99,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,1
"United Arab Emirates",ARE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
Argentina,ARG,96,96,96,96,97,97,97,97,98,98,99,99,99,99,100,100,100,100,100,100,100,4
Armenia,ARM,99,100,98,99,99,100,99,99,99,99,100,99,100,99,100,100,100,100,100,100,100,1
"Antigua and Barbuda",ATG,98,98,100,98,98,92,100,100,100,99,99,95,100,100,100,100,100,100,100,100,100,2
Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
Azerbaijan,AZE,99,99,100,99,99,99,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,1
Burundi,BDI,3,3,3,3,4,3,3,5,5,5,5,6,7,7,7,8,8,9,10,10,9,6
Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
Benin,BEN,22,22,23,24,25,26,28,28,29,30,34,37,38,35,34,30,37,35,39,40,41,19
"Burkina Faso",BFA,9,10,10,11,11,11,12,12,13,13,13,15,15,15,19,16,17,17,14,18,18,9
Bangladesh,BGD,32,35,38,40,41,44,51,47,54,57,55,60,66,62,62,74,76,88,87,92,96,64
Bulgaria,BGR,88,89,89,90,90,91,91,92,92,93,94,94,95,95,96,97,97,98,99,99,100,12
Bahrain,BHR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
"Bosnia and Herzegovina",BIH,99,99,99,99,99,99,99,100,99,99,99,100,100,100,100,100,100,100,100,100,100,1
Belarus,BLR,89,90,90,91,91,92,92,93,93,94,94,95,96,96,97,97,98,99,99,100,100,11
Belize,BLZ,79,80,81,82,83,83,91,85,86,87,90,92,91,91,91,92,93,94,92,93,97,18
Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
Brazil,BRA,94,96,97,97,97,97,98,98,99,99,99,99,100,100,100,100,100,100,100,100,100,6
Barbados,BRB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
Bhutan,BTN,31,40,44,41,52,60,60,72,68,72,73,82,92,87,91,95,99,98,100,100,100,69
Botswana,BWA,27,25,27,33,35,37,40,42,45,43,52,53,56,58,60,62,64,67,68,70,72,45
"Central African Republic",CAF,6,6,6,7,7,7,8,8,7,9,10,10,11,12,12,13,13,14,15,14,15,9
